player,team,position,caphit_2016-17,caphit_2017-18,salary_2016-17,salary_2017-18,salary_2018-19,salary_2019-20,salary_2020-21
John Klingberg,DAL,Defence,4.250,4.250,2.750,3.500,4.500,5.000,5.750
Marc-Edouard Vlasic,SJS,Defence,4.250,4.250,4.250,4.250,UFA,,
James Van Riemsdyk,TOR,Left,4.250,4.250,5.000,5.000,UFA,,
Patric Hornqvist,PIT,Right,4.250,4.250,4.750,4.750,UFA,,
Brian Gionta,BUF,Right,4.250,0.000,3.250,UFA,,,
Justin Abdelkader,DET,Left,4.250,4.250,5.500,5.000,5.000,4.750,3.500
Jonathan Ericsson,DET,Defence,4.250,4.250,4.250,4.250,4.250,4.250,UFA
Kevin Shattenkirk,STL,Defence,4.250,0.000,5.200,UFA,,,
David Savard,CLB,Defence,4.250,4.250,3.500,4.000,4.750,5.000,4.000
Craig Smith,NAS,Center,4.250,4.250,4.000,4.250,4.500,4.750,UFA
Tyler Bozak,TOR,Center,4.200,4.200,4.500,4.000,UFA,,
Craig Anderson,OTT,Goaltender,4.200,4.200,4.750,3.100,UFA,,
Nikolay Kulemin,NYI,Left,4.188,4.188,4.250,5.250,UFA,,
T.J. Oshie,WAS,Center,4.175,0.000,4.500,UFA,,,
Oscar Klefbom,EDM,Defence,4.167,4.167,3.000,3.500,4.000,4.500,4.500
Cam Talbot,EDM,Goaltender,4.167,4.167,4.150,4.150,4.200,UFA,
Adam Larsson,EDM,Defence,4.167,4.167,3.000,4.500,4.850,5.050,5.100
Jonas Brodin,MIN,Defence,4.167,4.167,4.000,4.500,5.750,4.750,3.500
Jonathan Bernier,ANA,Goaltender,4.150,0.000,4.150,UFA,,,
Niklas Hjalmarsson,CHI,Defence,4.100,4.100,4.100,4.000,4.000,UFA,
Alexei Emelin,MTL,Defence,4.100,4.100,4.200,4.400,UFA,,
Steve Mason,PHI,Goaltender,4.100,0.000,4.100,UFA,,,
Nick Bjugstad,FLA,Center,4.100,4.100,3.350,3.850,4.300,5.000,5.250
Olli Maatta,PIT,Defence,4.083,4.083,4.083,4.083,4.083,4.083,4.083
Jake Gardiner,TOR,Defence,4.050,4.050,4.050,4.050,3.450,UFA,
Marc Savard,NJD,Center,4.021,0.000,0.575,UFA,,,
Carl Hagelin,PIT,Left,4.000,4.000,3.667,3.667,3.667,UFA,
Kevin Bieksa,ANA,Defence,4.000,4.000,4.000,4.000,UFA,,
Victor Rask,CAR,Center,4.000,4.000,4.000,4.000,4.000,4.000,4.000
Benoit Pouliot,EDM,Left,4.000,4.000,4.000,4.000,4.000,UFA,
Victor Hedman,TBL,Defence,4.000,7.875,4.250,8.000,8.000,8.000,8.000
Cam Fowler,ANA,Defence,4.000,4.000,4.000,4.000,UFA,,
Adam Henrique,NJD,Center,4.000,4.000,4.500,5.000,5.500,UFA,
Jake Muzzin,LAK,Defence,4.000,4.000,4.000,4.100,4.450,4.450,UFA
Marco Scandella,MIN,Defence,4.000,4.000,3.750,4.000,4.500,4.750,UFA
Alec Martinez,LAK,Defence,4.000,4.000,3.900,4.000,4.050,4.150,4.000
Milan Michalek,TOR,Left,4.000,0.000,4.000,UFA,,,
Petr Mrazek,DET,Goaltender,4.000,4.000,3.850,4.150,RFA,,
Roman Josi,NAS,Defence,4.000,4.000,4.250,5.000,5.250,4.000,UFA
Michael Stone,ARI,Defence,4.000,0.000,4.000,UFA,,,
Jussi Jokinen,FLA,Left,4.000,4.000,4.000,4.000,UFA,,
Ales Hemsky,DAL,Right,4.000,0.000,4.000,UFA,,,
Bryan Bickell,CAR,Left,4.000,0.000,4.500,UFA,,,
Ryan Johansen,NAS,Center,4.000,0.000,6.000,RFA,,,
Milan Michalek,TOR,Left,4.000,0.000,4.000,UFA,,,
Mikkel Boedker,SJS,Right,4.000,4.000,5.200,4.800,3.000,3.000,UFA
Wayne Simmonds,PHI,Right,3.975,3.975,4.300,4.750,5.000,UFA,
John Carlson,WAS,Defence,3.967,3.967,4.000,4.000,UFA,,
Johan Franzen,DET,Center,3.955,3.955,3.500,2.000,1.000,1.000,UFA
Colin Wilson,NAS,Center,3.938,3.938,4.000,4.000,4.000,UFA,
Josh Gorges,BUF,Defence,3.900,3.900,3.900,3.900,UFA,,
Ondrej Pavelec,WPG,Goaltender,3.900,0.000,4.750,UFA,,,
Andrew Shaw,MTL,Center,3.900,3.900,5.500,5.000,4.000,3.250,2.750
Ondrej Pavelec,WPG,Goaltender,3.900,0.000,4.750,UFA,,,
Michael Del Zotto,PHI,Defence,3.875,0.000,4.000,UFA,,,
Travis Hamonic,NYI,Defence,3.857,3.857,4.875,4.875,4.875,4.875,UFA
Darren Helm,DET,Center,3.850,3.850,5.000,4.500,3.750,3.000,3.000
Chris Kunitz,PIT,Left,3.850,0.000,3.550,UFA,,,
Cody Eakin,DAL,Center,3.850,3.850,3.850,3.850,3.850,3.850,UFA
Connor Murphy,ARI,Defence,3.850,3.850,2.400,4.600,4.500,4.400,3.200
Rickard Rakell,ANA,Right,3.800,3.800,3.800,3.800,3.800,3.800,3.800
Matt Beleskey,BOS,Left,3.800,3.800,4.000,4.000,4.000,3.000,UFA
Justin Braun,SJS,Defence,3.800,3.800,3.800,3.800,3.800,3.800,UFA
Aaron Ekblad,FLA,Defence,3.775,7.500,0.925,9.000,7.000,9.000,6.000
Auston Matthews,TOR,Center,3.775,3.775,0.925,0.925,0.925,RFA,
Jack Eichel,BUF,Center,3.775,3.775,0.925,0.925,RFA,,
Connor McDavid,EDM,Center,3.775,3.775,0.925,0.925,RFA,,
Jimmy Vesey,NYR,Left,3.775,3.775,0.925,0.925,RFA,,
Dan Hamhuis,DAL,Defence,3.750,3.750,4.500,3.000,UFA,,
Pascal Dupuis,PIT,Left,3.750,0.000,3.000,UFA,,,
Brendan Gallagher,MTL,Right,3.750,3.750,4.500,2.750,3.000,4.000,2.750
Mattias Ekholm,NAS,Defence,3.750,3.750,3.000,3.500,4.000,4.000,3.000
Jakob Silfverberg,ANA,Right,3.750,3.750,3.750,3.750,3.750,UFA,
Johnny Oduya,DAL,Defence,3.750,0.000,3.750,UFA,,,
Anders Lee,NYI,Center,3.750,3.750,3.500,4.500,5.000,UFA,
David Perron,STL,Left,3.750,3.750,3.750,3.750,UFA,,
Patrik Berglund,STL,Center,3.700,3.850,3.700,4.700,4.700,4.500,2.900
Braydon Coburn,TBL,Defence,3.700,3.700,3.700,3.700,3.700,UFA,
Simon Despres,ANA,Defence,3.700,3.700,2.600,3.100,4.700,4.700,3.400
Mark Fayne,EDM,Defence,3.625,3.625,3.500,3.500,UFA,,
Matt Read,PHI,Right,3.625,3.625,4.000,3.500,UFA,,
Mark Fayne,EDM,Defence,3.625,3.625,3.500,3.500,UFA,,
Brad Stuart,COL,Defence,3.600,0.000,3.600,,,,
Luca Sbisa,VAN,Defence,3.600,3.600,3.600,4.000,UFA,,
Mikael Backlund,CGY,Center,3.575,3.575,3.575,3.575,UFA,,
Patrik Laine,WPG,Right,3.575,3.575,0.925,0.925,0.925,RFA,
Sam Reinhart,BUF,Center,3.544,3.544,0.925,0.833,RFA,,
Mike Ribeiro,NAS,Center,3.500,0.000,3.500,UFA,,,
Lars Eller,WAS,Center,3.500,3.500,4.250,4.750,UFA,,
David Desharnais,MTL,Center,3.500,0.000,3.500,UFA,,,
Mark Stone,OTT,Right,3.500,3.500,3.750,4.500,RFA,,
Erik Gudbranson,VAN,Defence,3.500,0.000,3.500,RFA,,,
Cam Atkinson,CLB,Right,3.500,3.500,3.500,4.500,UFA,,
Kyle Turris,OTT,Center,3.500,3.500,4.000,4.000,UFA,,
Ladislav Smid,CGY,Defence,3.500,0.000,4.000,UFA,,,
James Wisniewski,CAR,Defence,3.500,3.500,3.500,1.000,,,
Mike Ribeiro,NAS,Center,3.500,0.000,3.500,UFA,,,
Artemi Panarin,CHI,Left,3.500,6.000,0.925,6.000,6.000,UFA,
Eric Staal,MIN,Center,3.500,3.500,3.500,3.500,3.500,UFA,
Reilly Smith,FLA,Right,3.425,5.000,3.500,6.000,6.000,5.000,3.500
Pierre-Luc Dubois,CLB,Center,3.425,3.425,0.925,0.925,0.925,RFA,
Jesse Puljujarvi,EDM,Right,3.425,3.425,0.925,0.925,0.925,RFA,
Leon Draisaitl,EDM,Center,3.400,0.000,0.925,RFA,,,
James Reimer,FLA,Goaltender,3.400,3.400,4.500,3.200,3.100,3.100,3.100
