player,position,signed_after_season,length_years,cap_hit
Whitecloud,D,2019-2020,2,725000
Siegenthaler,D,2019-2020,1,800000
Savard,D,2014-2015,5,4250000
Gostisbehere,D,2016-2017,6,4500000
Parayko,D,2016-2017,5,5500000
Skjei,D,2017-2018,6,5250000
Clifton,D,2018-2019,3,1000000
Lindell,D,2018-2019,6,5800000
Roy,D,2018-2019,2,700000
Butcher,D,2018-2019,3,3733333
Mueller,D,2018-2019,1,1400000
Dahlstrom,D,2018-2019,2,850000
Morrissey,D,2018-2019,8,6250000
Haydn Fleury,D,2019-2020,2,1300000
Zadorov,D,2019-2020,1,3200000
Gavrikov,D,2019-2020,3,2800000
Mermis,D,2019-2020,1,700000
Deangelo,D,2019-2020,2,4800000
Wolanin,D,2019-2020,2,900000
Jaros,D,2019-2020,1,750000
Middleton,D,2019-2020,2,725000
Subban,D,2013-2014,8,9000000
Ekholm,D,2014-2015,6,3750000
Vatanen,D,2015-2016,4,4875000
Hedman,D,2015-2016,8,7875000
Fowler,D,2016-2017,8,6500000
Manson,D,2016-2017,4,4100000
Mayfield,D,2016-2017,5,1450000
Zaitsev,D,2016-2017,7,4500000
Doumolin,D,2016-2017,6,4100000
Orlov,D,2016-2017,6,5100000
Miller,D,2017-2018,4,3875000
Seeler,D,2017-2018,3,725000
Oleksiak,D,2017-2018,3,2137500
Poolman,D,2017-2018,3,775000
Mccabe,D,2018-2019,2,2850000
Nurse,D,2018-2019,2,5600000
Kulak,D,2018-2019,3,1850000
Murray,D,2018-2019,2,4600000
Carrick,D,2018-2019,2,1500000
Trouba,D,2018-2019,7,8000000
Reilly,D,2018-2019,2,1500000
Djoos,D,2019-2020,1,1000000
Koekkoek,D,2019-2020,1,925000
Graves,D,2019-2020,3,3160000
Walker,D,2019-2020,4,2650000
Hagg,D,2019-2020,2,1600000
Keith,D,2008-2009,13,5538462
Weber,D,2011-2012,14,7857143
Letang,D,2012-2013,8,7250000
DeKeyser,D,2015-2016,6,5000000
Gudbranson,D,2016-2017,3,4000000
McNabb,D,2016-2017,4,2500000
OEL,D,2017-2018,8,8250000
