Serving HTTP on 0.0.0.0 port 8000 (http://0.0.0.0:8000/) ...
127.0.0.1 - - [08/Sep/2026 18:19:00] "GET /js/traits.js HTTP/1.1" 200 -
127.0.0.1 - - [08/Sep/2026 18:19:00] "GET /js/logos.js HTTP/1.1" 200 -
127.0.0.1 - - [08/Sep/2026 18:19:00] "GET /js/recit.js HTTP/1.1" 200 -
127.0.0.1 - - [08/Sep/2026 18:19:00] "GET /js/ratings.js HTTP/1.1" 200 -
127.0.0.1 - - [08/Sep/2026 18:19:00] "GET /data/trophees.js HTTP/1.1" 200 -
127.0.0.1 - - [08/Sep/2026 18:19:00] "GET /data/reputations.js HTTP/1.1" 200 -
127.0.0.1 - - [08/Sep/2026 18:19:00] "GET /data/index.json HTTP/1.1" 200 -
127.0.0.1 - - [08/Sep/2026 18:19:00] "GET /data/seasons/2005-06.json HTTP/1.1" 200 -
127.0.0.1 - - [08/Sep/2026 18:19:00] "GET /fonts/BarlowCondensed-700-latin.woff2 HTTP/1.1" 200 -
127.0.0.1 - - [08/Sep/2026 18:19:00] "GET /data/seasons/2012-13.json HTTP/1.1" 200 -
127.0.0.1 - - [08/Sep/2026 18:19:00] "GET /data/seasons/2014-15.json HTTP/1.1" 200 -
127.0.0.1 - - [08/Sep/2026 18:19:01] "GET /data/seasons/1990-91.json HTTP/1.1" 200 -
127.0.0.1 - - [08/Sep/2026 18:19:01] "GET /data/seasons/2010-11.json HTTP/1.1" 200 -
127.0.0.1 - - [08/Sep/2026 18:19:01] "GET /data/seasons/1988-89.json HTTP/1.1" 200 -
127.0.0.1 - - [08/Sep/2026 18:19:01] "GET /data/seasons/1999-00.json HTTP/1.1" 200 -
127.0.0.1 - - [08/Sep/2026 18:19:01] "GET /data/seasons/1994-95.json HTTP/1.1" 200 -
127.0.0.1 - - [08/Sep/2026 18:19:01] "GET /data/seasons/1980-81.json HTTP/1.1" 200 -
127.0.0.1 - - [08/Sep/2026 18:19:01] "GET /data/seasons/1992-93.json HTTP/1.1" 200 -
127.0.0.1 - - [08/Sep/2026 18:19:01] "GET /data/seasons/1989-90.json HTTP/1.1" 200 -
127.0.0.1 - - [08/Sep/2026 18:19:01] "GET /data/seasons/1970-71.json HTTP/1.1" 200 -
127.0.0.1 - - [08/Sep/2026 18:19:01] "GET /data/seasons/1987-88.json HTTP/1.1" 200 -
127.0.0.1 - - [08/Sep/2026 18:19:02] "GET /data/seasons/2009-10.json HTTP/1.1" 200 -
127.0.0.1 - - [08/Sep/2026 18:19:02] "GET /data/seasons/2015-16.json HTTP/1.1" 200 -
127.0.0.1 - - [08/Sep/2026 18:19:02] "GET /data/seasons/2016-17.json HTTP/1.1" 200 -
127.0.0.1 - - [08/Sep/2026 18:19:02] "GET /data/seasons/2023-24.json HTTP/1.1" 200 -
127.0.0.1 - - [08/Sep/2026 18:19:02] "GET /data/seasons/1995-96.json HTTP/1.1" 200 -
127.0.0.1 - - [08/Sep/2026 18:19:02] "GET /data/seasons/2011-12.json HTTP/1.1" 200 -
127.0.0.1 - - [08/Sep/2026 18:19:02] "GET /data/seasons/2017-18.json HTTP/1.1" 200 -
127.0.0.1 - - [08/Sep/2026 18:19:02] "GET /data/seasons/1975-76.json HTTP/1.1" 200 -
127.0.0.1 - - [08/Sep/2026 18:19:02] "GET /data/seasons/2000-01.json HTTP/1.1" 200 -
127.0.0.1 - - [08/Sep/2026 18:19:02] "GET /data/seasons/1983-84.json HTTP/1.1" 200 -
127.0.0.1 - - [08/Sep/2026 18:19:03] "GET /data/seasons/1972-73.json HTTP/1.1" 200 -
127.0.0.1 - - [08/Sep/2026 18:19:03] "GET /data/seasons/2002-03.json HTTP/1.1" 200 -
127.0.0.1 - - [08/Sep/2026 18:19:03] "GET /data/seasons/1993-94.json HTTP/1.1" 200 -
127.0.0.1 - - [08/Sep/2026 18:19:03] "GET /data/seasons/2024-25.json HTTP/1.1" 200 -
127.0.0.1 - - [08/Sep/2026 18:19:03] "GET /data/seasons/1986-87.json HTTP/1.1" 200 -
127.0.0.1 - - [08/Sep/2026 18:19:03] "GET /data/seasons/2007-08.json HTTP/1.1" 200 -
127.0.0.1 - - [08/Sep/2026 18:19:04] "GET /data/seasons/2025-26.json HTTP/1.1" 200 -
